_id,play,video_summary,subcategory,subcategory_perspective
673310167674d968477b6544,https://strgmcmcradar.blob.core.windows.net/videos/7371308190144695559.mp4,"Two men, Arshad and Syad, discuss their preferences and red flags in women, with Syad jokingly saying he dislikes women who use micro USB and prefers those who use Type-C, symbolizing newer and more modern qualities.","Personal Preferences, Relationship Deal Breakers, Technology in Dating","Misogynistic Jokes, Stereotyping Women, Sexist Preferences"
673310177674d968477b6549,https://strgmcmcradar.blob.core.windows.net/videos/7370565317120118034.mp4,"A woman wearing a hat and glasses is shown in various scenes, including holding a cell phone, in a car, and with a purple ribbon, with a brief appearance by a similar-looking man.","Visual Appearance, Scenes and Settings, Characters and Interactions","Misogynistic Imagery, Stereotypical Portrayals, Objectification of Women"
673310197674d968477b6550,https://strgmcmcradar.blob.core.windows.net/videos/7391206541350718738.mp4,"A woman sits at a desk with a cell phone, then two women are shown playing a video game together on a couch, switching between these scenes multiple times.","Mobile Gaming, Social Interaction, Home Entertainment","Online Harassment, Gaming Abuse, Cyberbullying Tactics"
6733101b7674d968477b6559,https://strgmcmcradar.blob.core.windows.net/videos/7374656961779928338.mp4,"A group of people with blue face paint promote unity, chanting in Malay ""I am Malay, I am Indian, I am Chinese, we are not racist.","Cultural Identity, Anti-Racism, Social Unity","Racial Harmony, Cultural Unity, Anti-Discrimination"
673310207674d968477b6564,https://strgmcmcradar.blob.core.windows.net/videos/7372450449649093896.mp4,"A food reviewer visits Kari Kambing Cikgu Anwar in Melaka, trying their signature dish, Kari Kambing Malay style with nasi Arab, and finds it delicious.","Food Review, Malaysian Cuisine, Restaurant Visit","None found, as the summary does not mention hate speech."
673310237674d968477b656d,https://strgmcmcradar.blob.core.windows.net/videos/7380254597350264071.mp4,"The video discusses the issue of racism and labeling people based on their ethnicity, specifically in Malaysia, where the creator criticizes the use of terms like ""Type C"", ""Type I"", and ""Type M"" to describe individuals.","Ethnic Labeling, Racial Stereotyping, Social Discrimination","Ethnic Slurs, Racial Profiling, Derogatory Labeling"
673310267674d968477b6589,https://strgmcmcradar.blob.core.windows.net/videos/7433302424787438856.mp4,"The video shows a series of nighttime scenes, including a man standing in the dark, a skateboarder on a city street, and various shots of cars driving by a gas station.","Nighttime Scenes, Urban Environments, Automotive Vehicles","Racist Slurs, Homophobic Remarks, Anti-Semitic Language"
673310287674d968477b6592,https://strgmcmcradar.blob.core.windows.net/videos/7405555511485025554.mp4,"A man with blue face paint and a brown shirt promotes self-acceptance and pride in being a ""Type C"" individual, encouraging others to do the same and view things from different perspectives.","Self-Acceptance, Personal Empowerment, Diversity Promotion","Tolerant Expression, Non-Discriminatory, Inclusive Messaging"
6733102e7674d968477b65a7,https://strgmcmcradar.blob.core.windows.net/videos/7376517672554581264.mp4,"A man helps a woman find a romantic partner, using a series of humorous and playful interactions to break the ice.","Romantic Comedy, Social Interactions, Matchmaking Services","None, Misogyny, Stereotyping"
673310327674d968477b65c3,https://strgmcmcradar.blob.core.windows.net/videos/7433026908415118599.mp4,"The video shows people with colorful face paint, questioning their preferences between Type-C and Type-M, while the transcription reveals a conversation about labels and stereotypes.","Face Paint, Stereotype Awareness, Labeling Preferences","Stereotype Reinforcement, Labeling Prejudice, Identity Mockery"
