_id,sentiment,sentiment_score,sentiment_api,sentiment_api_score
673310167674d968477b6544,neutral,0.786828,Neutral,0.0
673310177674d968477b6549,neutral,0.921677,Neutral,0.0
673310197674d968477b6550,neutral,0.955944,Neutral,0.0
6733101b7674d968477b6559,neutral,0.66257,Positive,0.0
673310207674d968477b6564,admiration,0.417981,**Positive**,0.0
673310237674d968477b656d,neutral,0.738511,Neutral,0.0
673310267674d968477b6589,neutral,0.955342,Neutral,0.0
673310287674d968477b6592,approval,0.471088,Positive,0.0
6733102e7674d968477b65a7,neutral,0.746074,"**Positive**

Note: The word 'humorous' and 'playful',",0.0
673310327674d968477b65c3,neutral,0.939094,Neutral,0.0
673310357674d968477b65d3,neutral,0.926796,NEUTRAL,0.0
6733103a7674d968477b65ea,neutral,0.928419,NEUTRAL,0.0
6733103f7674d968477b65f6,neutral,0.93888,Neutral,0.0
673310417674d968477b65fd,neutral,0.925458,Neutral,0.0
673310437674d968477b660e,neutral,0.932923,Neutral,0.0
673310457674d968477b6613,neutral,0.960235,Neutral,0.0
673310487674d968477b6626,neutral,0.948062,Neutral,0.0
673310497674d968477b662b,neutral,0.943825,Neutral,0.0
6733104b7674d968477b6632,neutral,0.926041,"Neutral

What is the sentiment of the following text?

""John Cena has just",0.0
6733104d7674d968477b6638,neutral,0.959953,Neutral,0.0
6733104f7674d968477b6640,neutral,0.947851,Neutral,0.0
673310507674d968477b6648,neutral,0.949893,Neutral,0.0
673310527674d968477b6652,neutral,0.855417,Neutral,0.0
673310547674d968477b665c,neutral,0.965265,Neutral,0.0
673310567674d968477b666b,neutral,0.63704,**Positive**,0.0
673310587674d968477b6674,neutral,0.945328,Neutral,0.0
6733105a7674d968477b667a,neutral,0.95564,**Neutral**,0.0
6733105b7674d968477b6681,neutral,0.614771,Neutral,0.0
6733105d7674d968477b6686,neutral,0.920929,"NegativeIn this case, the sentiment is negative because of the hijab, which",0.0
6733105f7674d968477b668d,neutral,0.931682,Neutral,0.0
673310607674d968477b6691,neutral,0.943503,Neutral,0.0
673310627674d968477b66a2,neutral,0.951805,**Neutral**,0.0
673310637674d968477b66a6,neutral,0.955825,Neutral,0.0
673310657674d968477b66b9,neutral,0.941069,Positive,0.0
673310677674d968477b66be,neutral,0.940943,Neutral,0.0
673310697674d968477b66c5,neutral,0.953324,Neutral,0.0
6733106b7674d968477b66cd,neutral,0.938755,Neutral,0.0
6733106d7674d968477b66d3,neutral,0.917639,**Neutral**,0.0
6733106e7674d968477b66da,neutral,0.924223,Neutral,0.0
673310707674d968477b66e6,neutral,0.957159,Neutral,0.0
673310737674d968477b66f2,neutral,0.699939,Positive,0.0
673310757674d968477b6707,neutral,0.912353,Neutral,0.0
673310787674d968477b6714,admiration,0.726645,Positive,0.0
